Designator,Mid X,Mid Y,Rotation,Layer
A2,112.517651,-53.93,270.0,top
A3,302.3175,-53.82,90.0,top
C2,59.017651,-44.89,0.0,bottom
C3,355.8175,-44.93,180.0,bottom
D100,352.7675,-67.93,270.0,bottom
D101,220.7675,-87.43,270.0,bottom
D102,238.2675,-87.43,270.0,bottom
D103,256.85,-92.0645,270.0,bottom
D104,276.7675,-87.58,270.0,bottom
D105,295.7675,-87.43,270.0,bottom
D106,314.7675,-87.43,270.0,bottom
D107,333.05,-93.1,270.0,bottom
D108,352.7675,-87.43,270.0,bottom
D109,220.7675,-106.58,270.0,bottom
D110,238.7675,-106.43,270.0,bottom
D111,267.2675,-106.43,270.0,bottom
D112,286.2675,-106.43,270.0,bottom
D113,305.2675,-106.43,270.0,bottom
D114,324.2675,-106.43,270.0,bottom
D115,343.2675,-106.43,270.0,bottom
D116,220.7675,-125.43,270.0,bottom
D117,238.7675,-125.43,270.0,bottom
D118,271.7675,-125.43,270.0,bottom
D119,290.7675,-125.43,270.0,bottom
D120,309.7675,-125.43,270.0,bottom
D121,329.2675,-125.43,270.0,bottom
D122,348.2675,-125.43,270.0,bottom
D123,220.7675,-144.43,270.0,bottom
D124,238.7675,-144.43,270.0,bottom
D125,281.2675,-144.43,270.0,bottom
D126,300.2675,-144.43,270.0,bottom
D127,319.7675,-144.43,270.0,bottom
D128,338.7675,-144.43,270.0,bottom
D129,357.7675,-144.43,270.0,bottom
D130,220.7675,-163.43,270.0,bottom
D131,238.7675,-163.43,270.0,bottom
D132,262.2675,-163.43,270.0,bottom
D133,286.2675,-163.43,270.0,bottom
D134,310.2675,-163.43,270.0,bottom
D43,44.330151,-68.43,270.0,bottom
D44,62.330151,-68.43,270.0,bottom
D45,81.330151,-68.43,270.0,bottom
D46,100.330151,-68.43,270.0,bottom
D47,119.330151,-68.43,270.0,bottom
D48,137.7,-71.95,270.0,bottom
D49,157.330151,-68.43,270.0,bottom
D50,176.330151,-68.43,270.0,bottom
D51,211.830151,-68.43,270.0,bottom
D52,44.330151,-87.43,270.0,bottom
D53,61.5,-88.95,270.0,bottom
D54,81.330151,-87.43,270.0,bottom
D55,100.330151,-87.43,270.0,bottom
D56,119.330151,-87.43,270.0,bottom
D57,138.330151,-87.43,270.0,bottom
D58,157.330151,-87.43,270.0,bottom
D59,194.064851,-87.545641,270.0,bottom
D60,34.864851,-106.645641,270.0,bottom
D61,52.830151,-106.43,270.0,bottom
D62,71.830151,-106.43,270.0,bottom
D63,90.830151,-106.43,270.0,bottom
D64,109.830151,-106.43,270.0,bottom
D65,128.830151,-106.43,270.0,bottom
D66,147.830151,-106.43,270.0,bottom
D67,166.8,-108.6,270.0,bottom
D68,195.330151,-106.43,270.0,bottom
D69,39.580151,-125.43,270.0,bottom
D70,57.330151,-125.43,270.0,bottom
D71,76.330151,-125.43,270.0,bottom
D72,95.330151,-125.43,270.0,bottom
D73,114.330151,-125.43,270.0,bottom
D74,133.830151,-125.43,270.0,bottom
D75,152.830151,-125.43,270.0,bottom
D76,195.330151,-125.43,270.0,bottom
D77,49.080151,-144.43,270.0,bottom
D78,66.830151,-144.43,270.0,bottom
D79,85.830151,-144.43,270.0,bottom
D80,105.330151,-144.43,270.0,bottom
D81,124.330151,-144.43,270.0,bottom
D82,143.330151,-144.43,270.0,bottom
D83,176.330151,-144.43,270.0,bottom
D84,195.830151,-144.43,270.0,bottom
D85,25.830151,-163.93,270.0,bottom
D86,76.330151,-163.43,270.0,bottom
D87,95.330151,-163.43,270.0,bottom
D88,114.830151,-163.43,270.0,bottom
D89,133.830151,-163.43,270.0,bottom
D90,157.330151,-163.43,270.0,bottom
D91,176.330151,-163.43,270.0,bottom
D92,195.830151,-163.43,270.0,bottom
D93,236.2675,-67.93,270.0,bottom
D94,238.7675,-67.93,270.0,bottom
D95,257.2675,-67.93,270.0,bottom
D96,276.7675,-67.93,270.0,bottom
D97,295.2,-68.75,270.0,bottom
D98,314.7675,-67.93,270.0,bottom
D99,333.7675,-67.93,270.0,bottom
F2,59.067651,-47.89,180.0,bottom
F3,355.6675,-47.93,0.0,bottom
H1,216.9,-117.15,90.0,top
H10,52.5,-120.25,0.0,top
H11,27.0,-179.55,0.0,top
H12,176.95,-84.15,0.0,top
H13,349.95,-179.6,0.0,top
H14,62.15,-83.45,0.0,top
H15,100.1,-80.75,0.0,top
H16,238.45,-179.55,0.0,top
H17,333.7,-84.65,0.0,top
H18,280.05,-153.35,0.0,top
H19,295.55,-102.5,0.0,top
H2,216.9,-136.2,90.0,top
H20,241.7,-116.15,0.0,top
